measure	ippCount	scanned	populationIndexed	mode	dfns
CMS165v14	23	522	522	heuristic-proxy	101077,101084,101088,101094,101095,101096,101097,101098,101099,101100,101101,101102,101103,101104,101105,101106,101107,101108,101109,101110,101111,101115,101122
CMS122v14	5	522	522	heuristic-proxy	101087,101096,101102,101109,101119
CMS130v14	17	522	522	heuristic-proxy	101077,101078,101088,101089,101095,101096,101098,101101,101102,101103,101107,101108,101109,101110,101115,101116,101119
CMS138v14	47	522	522	heuristic-proxy	101076,101077,101078,101079,101080,101081,101082,101083,101084,101085,101086,101087,101088,101089,101090,101091,101092,101093,101094,101095,101096,101097,101098,101099,101100,101101,101102,101103,101104,101105,101106,101107,101108,101109,101110,101111,101112,101113,101114,101115,101116,101117,101118,101119,101120,101121,101122
CMS2v15	0	522	522	heuristic-proxy	
CMS125v14	0	522	522	heuristic-proxy	
CMS131v14	0	522	522	heuristic-proxy	
CMS68v15	45	522	522	heuristic-proxy	101076,101077,101078,101079,101080,101082,101083,101084,101085,101086,101087,101088,101089,101091,101092,101093,101094,101095,101096,101097,101098,101099,101100,101101,101102,101103,101104,101105,101106,101107,101108,101109,101110,101111,101112,101113,101114,101115,101116,101117,101118,101119,101120,101121,101122
CMS22v14	48	522	522	heuristic-proxy	36,101076,101077,101078,101079,101080,101081,101082,101083,101084,101085,101086,101087,101088,101089,101090,101091,101092,101093,101094,101095,101096,101097,101098,101099,101100,101101,101102,101103,101104,101105,101106,101107,101108,101109,101110,101111,101112,101113,101114,101115,101116,101117,101118,101119,101120,101121,101122
